texto,categoria,tipo
"Banrural informa: Tu préstamo pre-aprobado por Q20,000 ya está listo. Si no fuiste vos el que lo pidió, llamá urgente al 2200-1122."," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"Alerta BAM: Cargo retenido por Q5,500 para compra de criptomonedas. Si usted no autorizó esto, cancele inmediatamente en http://bam-seguridad-gt.com"," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"SAT notifica: Cheque internacional por Q35,000 a su nombre ha sido bloqueado. Pague la póliza de liberación de Q800 hoy. Información al 4545-6677."," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"Tigo Money: Has ganado Q10,000 en nuestras nuevas plataformas de inversión. Para reclamar tu pisto manda mensaje de WhatsApp al 3344-5566."," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"IGSS: Estimado afiliado, se le aplicará un cobro automático de Q950 por su nueva póliza de seguro médico. Si no lo solicitó, llame ya al 2424-0000."," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"Claro te autorizó un crédito rápido de Q15,000 sin fiador ni papelería. Solo dale clic aquí y recibí tu desembolso hoy mismo: http://prestamos-claro-gt.com"," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"RENAP alerta: Su DPI fue usado para intentar cobrar un cheque de Q12,000. Si no sos vos, comunicate urgente a atención al cliente en http://renap-legal-gt.com"," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
"EMETRA: Se autorizó un cargo de Q1,800 a su tarjeta de crédito por la póliza anual de multas. Si usted no reconoce el cobro, comuníquese al 2323-4455."," Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques)",Spam
SAT informa: Su paquete internacional se encuentra retenido en Aduanas. Falta el pago de aranceles por Q45.00. Ingrese a https://sat-gt-aduanas.com/pago para liberarlo hoy mismo y evitar el decomiso de sus bienes.," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Migracion GT: Tenés unas maletas retenidas en el Aeropuerto La Aurora enviadas por un familiar. Para autorizar la entrega hasta tu casa, pagá la multa administrativa acá: https://migracion-maletas-gt.top/auth"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Banrural: Estimado cliente, el cobro por Q35.50 para la entrega de su paquete express ha sido rechazado. Actualice sus datos en https://banrural-envios.net/paquetes o el pedido será devuelto al país de origen."," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Tigo: ¡Felicidades vos! Ganaste un celular. El paquete ya está en el centro de distribución pero la dirección de entrega está incompleta. Confirmá tu lugar de residencia aquí: https://premios-tigo-gt.xyz/reclamo," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
